Lipid_name,full_smiles,Amine,Tail,amine_filled,tail_filled,amine_corrected,fill_confidence,fill_tanimoto,fill_note
A1_B2_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A1_B3_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B4_C5,CCCCCCC/C=C/C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCC/C=C/CCCCCCCC,CN(C)CCN,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B5_C5,CCCCCCC/C=C\C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCC/C=C\CCCCCCCC,CN(C)CCN,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B6_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B7_C5,C#CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCC/C=C\CCCCCCCC,CN(C)CCN,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B8_C5,C=CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCC/C=C\CCCCCCCC,CN(C)CCN,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B9_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B10_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B11_C5,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B12_C5,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCC/C=C\CCCCCCCC,CN(C)CCN,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B1_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B2_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A2_B3_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCCN1CCCC1,NCCCN1CCCC1,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A2_B4_C1,CCCCCCC/C=C/C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
A2_B5_C1,CCCCCCC/C=C\C(=O)OCCCCCC(NCCCN1CCCC1)C(=O)NCCCCCCCCCCCC,NCCCN1CCCC1,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
