,Mean,Std,Max,Min,ExtremeVariance
GM_149,0.0008856386,0.006323769,0.047388952,-0.04008409,0.08747304
GM_150,0.00041930788,0.007981074,0.0883878,-0.05276293,0.14115073
GM_151,0.0017538874,0.0049455706,0.048646662,-0.048511636,0.0971583
GM_152,0.00014973969,0.007643712,0.067017734,-0.04818929,0.115207024
GM_153,0.00043854848,0.0074646487,0.04654685,-0.06341607,0.109962925
GM_154,-0.0020008036,0.00825937,0.059088428,-0.06308401,0.12217243
GM_155,1.3463609e-05,0.005965053,0.033766624,-0.04368611,0.077452734
GM_156,-0.0012678758,0.007977915,0.056472722,-0.039645627,0.096118346
GM_157,-1.6225433e-05,0.0071382327,0.0357071,-0.041779354,0.077486455
GM_158,-0.00097520155,0.0023395196,0.010034699,-0.023934556,0.033969253
GM_159,-0.0009418831,0.003996914,0.025183054,-0.02233687,0.047519922
GM_160,-0.0019725794,0.0037583353,0.0142911,-0.03218647,0.04647757
GM_161,-0.0012784777,0.0054716696,0.03417568,-0.029543769,0.06371945
GM_162,-0.002418195,0.005309777,0.031679478,-0.05063139,0.08231087
GM_163,0.00085685425,0.005547203,0.03322372,-0.025844198,0.059067916
GM_164,-0.0017184251,0.007943403,0.0400459,-0.07315009,0.113195986
GM_165,0.003955814,0.0071658557,0.08161404,-0.041123025,0.122737065
GM_166,0.0006052811,0.0041006324,0.030311417,-0.03314728,0.063458696
GM_167,0.0059855417,0.0064805415,0.10255815,-0.030026976,0.13258512
GM_168,-0.0007367284,0.004788934,0.034131568,-0.038291324,0.07242289
GM_169,-0.0028124745,0.00654658,0.030867001,-0.04929001,0.08015701
GM_170,-0.0037492325,0.0076054116,0.031572577,-0.071823105,0.103395686
GM_171,-0.00021360356,0.0042696795,0.042715184,-0.02965238,0.072367564
GM_172,-0.00019130575,0.0018809687,0.032025974,-0.018621216,0.05064719
GM_173,0.001470398,0.006074312,0.06741744,-0.043253843,0.11067128
GM_174,-0.00035307952,0.002534741,0.015225925,-0.01767143,0.032897353
GM_175,-0.0036536972,0.0064074523,0.03270125,-0.059459884,0.092161134
GM_176,-0.00021523795,0.0065970444,0.059788164,-0.060690902,0.12047906
GM_177,0.0016477784,0.0040378226,0.039065868,-0.022257356,0.061323225
GM_178,-0.00075159717,0.0064037796,0.04891201,-0.07112719,0.1200392
GM_179,-0.001493311,0.0053401957,0.02242097,-0.037625786,0.060046755
GM_180,0.0022947013,0.0052256305,0.06604034,-0.01923818,0.08527852
GM_181,-0.0012727537,0.006812298,0.039575085,-0.045188766,0.084763855
GM_182,0.002359614,0.00635532,0.08741158,-0.030609386,0.11802097
GM_183,-0.0032278593,0.0052683256,0.029501017,-0.04858951,0.078090526
GM_184,0.00069834077,0.00623563,0.0493196,-0.034505207,0.083824806
GM_185,0.0005726218,0.0035345673,0.02591269,-0.023691399,0.049604088
GM_186,0.0028190536,0.0052117985,0.031275257,-0.027220277,0.058495536
GM_187,-0.003114166,0.011016756,0.04527487,-0.10265006,0.14792493
GM_188,-0.0062254653,0.008104878,0.040434297,-0.06737686,0.10781115
GM_189,0.0013585361,0.005368669,0.05696216,-0.041936856,0.098899014
GM_190,0.00587921,0.0059351595,0.05622439,-0.022232125,0.07845651
GM_191,0.0021568958,0.0057211076,0.08452229,-0.03281885,0.117341146
GM_192,-0.003673399,0.00675013,0.027959183,-0.06785509,0.09581427
GM_193,-0.0007444885,0.005011863,0.022078916,-0.060659565,0.08273848
GM_194,0.0011903689,0.00499545,0.036721744,-0.03262813,0.06934987
GM_195,-0.00024895795,0.0049558566,0.046694465,-0.041570604,0.08826507
GM_196,0.0008716858,0.0046696775,0.0556352,-0.030145124,0.08578032
GM_197,-0.0011042416,0.0082843155,0.07786745,-0.1229405,0.20080796
GM_198,-0.0049135853,0.0046711904,0.011482249,-0.047107078,0.058589328
GM_199,-0.00017465588,0.007847494,0.060431335,-0.04414757,0.104578905
GM_200,0.0015083306,0.004910709,0.036681045,-0.02918763,0.065868676
GM_201,-0.0059270216,0.008581268,0.069916956,-0.08549302,0.15540998
GM_202,-0.0005032978,0.0054564704,0.040765684,-0.055523098,0.096288785
GM_203,-0.0030516796,0.0050492864,0.056911785,-0.05754476,0.11445655
GM_204,0.0019426768,0.003448414,0.044516418,-0.0141201615,0.05863658
GM_205,-0.0019904855,0.0038372905,0.015945697,-0.038927,0.0548727
GM_206,-0.0010327682,0.0051630535,0.033603422,-0.033053894,0.06665732
GM_207,-0.004034157,0.0059705125,0.022575013,-0.054108128,0.07668314
GM_208,-0.0011208773,0.0044803745,0.022274883,-0.031568967,0.05384385
GM_209,0.0031540866,0.006052712,0.038133048,-0.03059713,0.068730175
GM_210,-0.00010461313,0.0027017454,0.023438407,-0.025572337,0.049010746
GM_211,-0.009882104,0.009198866,0.017760094,-0.09924621,0.1170063
GM_212,0.002988089,0.006390741,0.09547453,-0.059750706,0.15522523
GM_213,0.005175753,0.006065963,0.08102789,-0.020767888,0.10179578
GM_214,0.0025702494,0.0048437994,0.045319498,-0.026879508,0.072199
GM_215,-7.305851e-05,0.0119677,0.082933135,-0.053653557,0.1365867
GM_216,-7.94344e-05,0.00094658963,0.006202931,-0.0065351515,0.012738083
GM_217,-0.00014091727,0.007291098,0.04276162,-0.06503722,0.107798845
GM_218,0.00065536896,0.0052100667,0.035324257,-0.0360611,0.071385354
GM_219,0.0024182766,0.008412827,0.0637537,-0.04426785,0.10802156
GM_220,0.0014682376,0.0042531476,0.039473347,-0.020527957,0.060001306
GM_221,-0.0018122587,0.0067841215,0.0478559,-0.059854686,0.107710585
GM_222,-0.00056173216,0.0015805907,0.009381294,-0.016027045,0.025408339
GM_223,0.0010110245,0.004034557,0.03181488,-0.028120555,0.059935436
GM_224,-0.0012136122,0.0049125385,0.033941995,-0.03849896,0.07244095
GM_225,-0.002930659,0.0059664696,0.031491414,-0.06013631,0.091627724
GM_226,-0.0025006458,0.006936058,0.028880922,-0.049544953,0.07842588
GM_227,-0.00092751876,0.0044273552,0.03392087,-0.027508082,0.06142895
GM_228,-0.0014771303,0.0027368127,0.013833702,-0.024829023,0.038662724
GM_229,-0.0063942974,0.00460677,0.016405212,-0.03651941,0.052924618
GM_230,0.0048079593,0.0056948313,0.06324389,-0.02304869,0.08629258
GM_231,-0.005454434,0.0065246406,0.04242944,-0.15403226,0.1964617
GM_232,-0.0014653822,0.008789118,0.036808003,-0.06877382,0.10558182
GM_233,-0.0003009359,0.005032371,0.03439348,-0.04439386,0.07878734
GM_234,-0.002105501,0.0069545265,0.03758799,-0.06476288,0.102350876
GM_235,0.0011863587,0.0053669107,0.0442269,-0.04443493,0.088661835
GM_236,-0.0002998508,0.005845337,0.055846576,-0.038716603,0.09456318
GM_237,-0.0029689798,0.007408407,0.04844446,-0.07238474,0.120829195
GM_238,-0.009124247,0.007814341,0.01815843,-0.08499235,0.10315078
GM_239,0.002562225,0.0052013877,0.045410946,-0.030596435,0.07600738
GM_240,-0.0031454142,0.003564757,0.018796882,-0.029347343,0.048144225
GM_241,-0.0017586658,0.004435026,0.037597694,-0.06246444,0.10006213
GM_242,0.0020350518,0.008591035,0.07299695,-0.05337955,0.12637651
GM_243,0.0037689363,0.0037259597,0.031690873,-0.014356705,0.04604758
GM_244,-0.0034730674,0.006262395,0.041257266,-0.039207026,0.08046429
GM_245,-0.0057647456,0.007087101,0.028899372,-0.064141564,0.093040936
GM_246,-0.00024310875,0.005235608,0.03411771,-0.053978648,0.08809636
GM_247,0.0020693075,0.0042587216,0.04172859,-0.023655513,0.065384105
GM_248,-4.0746512e-05,0.0029733926,0.024023188,-0.027365863,0.051389053
GM_249,-0.00084585167,0.0059609287,0.0842048,-0.042546067,0.12675087
GM_250,-0.0011416859,0.0029323369,0.012509241,-0.027148772,0.039658014
GM_251,-0.0009732327,0.0067477645,0.052827563,-0.062292367,0.115119934
GM_252,-0.002526674,0.011671164,0.06825369,-0.07288761,0.1411413
GM_253,-0.00041378167,0.006303562,0.054802004,-0.057922166,0.11272417
GM_254,-0.0010221365,0.0054690493,0.06987892,-0.04860855,0.11848747
GM_255,-0.0014982513,0.0051772557,0.050341338,-0.03418286,0.0845242
GM_256,0.00025039565,0.004242585,0.0325945,-0.050104514,0.082699016
GM_257,0.0016360309,0.0029434718,0.03286333,-0.010213118,0.04307645
GM_258,0.00072825106,0.0021074566,0.019383589,-0.016331559,0.035715148
GM_259,-0.0010174471,0.0030329418,0.018630125,-0.037529305,0.05615943
GM_260,0.009127053,0.008791194,0.102660626,-0.027202636,0.12986326
GM_261,0.0148910945,0.010958602,0.09943654,-0.015690882,0.115127414
GM_262,-0.0009774927,0.003019246,0.017217848,-0.039642405,0.056860253
GM_263,-0.0022483522,0.009925147,0.038865894,-0.084192395,0.12305829
GM_264,0.0016719776,0.006121201,0.05169961,-0.056731887,0.108431496
